id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39971294,Cozy flat with chimney,21565256,Tanja,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50168,13.41573,Entire home/apt,50,1,2,2019-12-02,0.06,1,0,0,
11934470,Bright Studio Apartment / 4th fl/ long term,62819516,Carla & Daniel,Neukölln,Reuterstraße,52.49226,13.42937,Entire home/apt,43,30,5,2022-03-29,0.07,2,271,3,
17580693,"Gemütliches, Zentrales Zimmer mit Blick ins Grüne",119416956,Sven,Mitte,Parkviertel,52.56151,13.35515,Private room,42,2,31,2022-03-07,0.50,1,10,4,
579471587567149993,Süßes Altbau-Apartment in Schöneberg,9916942,Kirsten,Tempelhof - Schöneberg,Friedenau,52.477266442905986,13.336424344175285,Entire home/apt,52,92,0,,,1,362,0,
17497917,BERLIN MITTE - hotspot - central & calm,5937313,Hyun-Jung,Mitte,Alexanderplatz,52.52438,13.41012,Entire home/apt,106,2,116,2022-05-29,1.84,1,6,25,
9924899,"Charming room in Kreuzberg, Graefekiez",4289187,Ka,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49087,13.41712,Private room,39,3,7,2019-09-20,0.09,2,0,0,
37167219,"Schöne, helle Wohnung im Herzen Kreuzbergs",12533725,Arne,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49781,13.43814,Private room,80,3,4,2021-10-22,0.36,1,278,4,
1514701,Charming apt in Iconic Krzbrg Bldg.,7148967,Matthew,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.49884,13.41807,Entire home/apt,43,2,7,2016-01-02,0.07,1,43,0,
1599410,Citynahe gepflegte Ferienwohnung,8526412,Gert,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48889,13.39046,Entire home/apt,68,30,69,2018-09-11,0.65,1,214,0,
398011,2-room miracle in P-berg + balcony,1968246,Sabine,Pankow,Prenzlauer Berg Ost,52.53645,13.44103,Entire home/apt,65,180,34,2016-04-25,0.28,3,12,0,
23134815,Cozy Home,34692810,Eva,Mitte,Osloer Straße,52.55316,13.38765,Entire home/apt,30,2,0,,,1,0,0,
27572024,Quiet peaceful room in Schoneberg,3017491,Miranda,Tempelhof - Schöneberg,Schöneberg-Süd,52.48401,13.35507,Private room,35,6,0,,,1,0,0,
37143203,Perfekte Lage im Szenekiez Kreuzberg/Schöneberg!,20338370,Jana,Tempelhof - Schöneberg,Schöneberg-Nord,52.49508,13.36195,Entire home/apt,75,3,12,2022-02-14,0.34,1,0,11,
40855650,Am Humboldthain,99988493,Marion,Mitte,Brunnenstr. Nord,52.5464,13.38001,Private room,45,2,6,2022-05-25,3.05,1,0,6,
45707053,Familienwohnung in Pankow am Rande beliebten Pberg,8214640,Milou,Pankow,Pankow Zentrum,52.57247,13.41276,Entire home/apt,90,3,0,,,1,0,0,
549885670737543278,Sonniges Zimmer mit direktem Badzugang,440775092,Benno,Treptow - Köpenick,Niederschöneweide,52.45282,13.51773,Private room,66,2,4,2022-03-13,0.94,1,165,4,"First name and Last name: Benjamin Thömel <br/> Contact address: Fennstr. 5, 12439, Berlin, Deutschland <br/>Listing address: Fennstr. 5, 12439, Berlin, Deutschland"
14712454,Idyllisches Apartment am Berliner Stadtrand,9957116,Anne & Hanns,Marzahn - Hellersdorf,Mahlsdorf,52.53443,13.65312,Entire home/apt,72,3,219,2022-05-29,3.12,1,202,24,
29453151,Last Minute - Ap. “Nest” Kurfürstendamm Berlin,15145288,Agnes,Charlottenburg-Wilm.,Halensee,52.49728,13.2865,Entire home/apt,143,4,86,2022-01-03,1.95,2,68,1,04/Z/ZA/007300-18
229363,Excl. Studio B Mitte/Hansaviertel,1195177,Annika,Mitte,Moabit Ost,52.52265,13.3419,Entire home/apt,95,5,72,2021-10-16,0.62,2,224,9,01/Z/NA/004722-16
53199782,Schöne helle und sonnige Altbauwohnung in Mitte,233643072,Kurt,Mitte,Moabit Ost,52.52313,13.34871,Entire home/apt,240,3,0,,,1,199,0,01/Z/RA/013439-21
26379731,CosyBig appartment 15min's to Alexanderplatz/fhain,197915619,Jakob,Pankow,Weißensee,52.54868,13.4649,Shared room,100,3,1,2018-08-27,0.02,1,74,0,
32214669,Seven Olives Apartment with Patio,87442687,Babett,Mitte,Moabit Ost,52.53508,13.35074,Entire home/apt,87,1,117,2022-06-12,2.90,22,246,59,"Legal entity name and Legal form: Berlinlofts UG haftungsbeschränkt  <br/>Legal representatives or Trade register number: HRB119127 <br/> Entity address: Stephanstr. 60, 10559, Berlin, Deutschland <br/>Listing address: Stephanstr. 60, 10559, Berlin, Deutschland "
34356661,Luxury Designer Loft Penthouse near Kudamm,206374835,Marcel,Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.49165,13.33541,Entire home/apt,233,180,1,2020-01-08,0.03,3,63,0,04/Z/RA/008943-19
53657632,"Große 2,5 Zi Wohnung nahe Schloß Charlottenburg",33821824,Alexandra,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51916,13.31599,Entire home/apt,70,92,0,,,3,257,0,
1827536,BestPlace 3 Cozy Room in PrenzlBerg,4293723,Alla,Pankow,Helmholtzplatz,52.54584,13.41458,Entire home/apt,119,3,152,2020-09-27,1.46,2,290,0,
10384926,Spacious flat in Berlin,32245189,Patrick,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51552,13.46392,Entire home/apt,48,15,0,,,1,0,0,
10521477,Gemütliche Hütte in Berlin,10882737,Amin,Neukölln,Rudow,52.43849,13.48405,Entire home/apt,23,2,0,,,1,0,0,
10826514,"",30886037,Sarah,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.5076,13.45082,Private room,35,1,0,,,1,0,0,
4737384,Room in Neuköllm,24456826,Cecilie&Mohanad,Neukölln,Rixdorf,52.4825,13.44397,Private room,20,3,65,2018-11-13,0.81,1,0,0,
11414738,"3 weeks, 2-room flat, 10.03-30.03",59933257,Andreas,Neukölln,Reuterstraße,52.48307,13.43465,Entire home/apt,35,10,0,,,1,0,0,
11558940,Large room with views of TV tower!,1209369,Alison,Pankow,Prenzlauer Berg Ost,52.5354,13.43507,Entire home/apt,35,2,4,2016-08-01,0.05,1,0,0,
6802037,Zentrales Zimmer in Berlin,4863332,Amira,Mitte,Moabit West,52.53265,13.34332,Private room,47,7,1,2016-04-13,0.01,1,0,0,
6874892,Cozy Room in Berlin Neukölln,36027840,Mascha,Neukölln,Rixdorf,52.48023,13.4377,Private room,24,1,2,2015-07-27,0.02,1,0,0,
13764166,"Cozy room in Berlin, Charlottenburg!",62639492,Eva,Charlottenburg-Wilm.,Mierendorffplatz,52.52583,13.30975,Private room,30,1,1,2016-07-17,0.01,1,0,0,
3493730,Herzlich Willkommen in Berlin!,17592094,Ani,Mitte,Alexanderplatz,52.52823,13.41055,Entire home/apt,80,1,0,,,1,0,0,
31618075,Schöne helle 3-Zi-Whg im Herzen von Friedrichshain,96635414,Harry,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51985,13.46202,Entire home/apt,85,4,7,2019-05-06,0.17,1,0,0,
41140644,Cozy Penthouse in central Prenzlauer Berg,46566344,Heiko,Pankow,Helmholtzplatz,52.54727,13.41707,Entire home/apt,60,500,0,,,4,11,0,
41203702,Cozy Berlin Home in Neukölln,68980325,Anna,Neukölln,Schillerpromenade,52.47821,13.42385,Entire home/apt,50,1,3,2021-11-21,0.13,1,0,1,
24625478,Moderne 1-Zimmerwohnung in Berlin Wilmersdorf,52263903,Max,Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.47898,13.33207,Entire home/apt,45,4,3,2018-06-04,0.06,1,0,0,
42188832,Small cosy room close to PT and restaurants,213416425,Matthew,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51363,13.46992,Private room,20,1,9,2020-03-13,0.32,1,0,0,
24884892,Zimmer in Moabit,17827855,Willi,Mitte,Moabit West,52.52931,13.32897,Private room,25,3,3,2019-02-25,0.06,1,0,0,
43493225,Fully furnished flat in the center of Berlin.,17904285,Seren,Charlottenburg-Wilm.,Kantstraße,52.51017,13.31579,Entire home/apt,500,1,0,,,1,0,0,
43538286,Family and Friends room 8 Beds,325537173,Grand Hostel Berlin Urban,Neukölln,Reuterstraße,52.48838,13.42651,Private room,80,30,0,,,7,322,0,
46236443,Central located apartment with balcony,34042528,Prateek,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.5152,13.4345,Entire home/apt,70,5,0,,,1,0,0,
49773942,"private 1-Zimmer Wohnung, EG zum Innenhof",401421261,Albert Nikolaus,Neukölln,Neuköllner Mitte/Zentrum,52.47431,13.43973,Entire home/apt,50,3,15,2022-06-01,1.17,1,0,14,
28222133,JNW Berlin Apartment,213169487,Landry,Charlottenburg-Wilm.,Westend,52.51706,13.25944,Entire home/apt,70,1,1,2018-09-04,0.02,1,0,0,
29929434,"Quiet location, close to City West.",225032154,Simon,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.517,13.32041,Private room,40,1,1,2019-03-09,0.03,1,0,0,
7834240,"Balkonstudio, lichthell&zentral",31164793,Marianne,Tempelhof - Schöneberg,Schöneberg-Nord,52.49437,13.3565,Entire home/apt,50,21,2,2015-10-01,0.02,1,0,0,
8564195,Double Room in Berlin Neukölln,42380726,Gerrit,Neukölln,Rixdorf,52.47296,13.45373,Private room,20,5,7,2018-06-28,0.09,1,0,0,
1434793,Top floor appt. + sunny balcony!,7711221,Antje,Pankow,Prenzlauer Berg Süd,52.53519,13.43314,Entire home/apt,40,3,3,2015-07-08,0.04,1,0,0,
2174040,Traum Maisonettwohnung mit Terrasse,4004368,Steffen,Pankow,Prenzlauer Berg Süd,52.53601,13.42536,Entire home/apt,50,4,0,,,1,0,0,
9820700,Cozy & Bright Apartment in Kreuzberg,8722266,Anna,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49221,13.38407,Entire home/apt,61,2,40,2020-01-03,0.54,1,0,0,
9915189,Cosy 2 room flat in Xberg,20565728,Laura,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49015,13.38339,Entire home/apt,52,5,2,2018-01-17,0.03,1,0,0,
17324076,schönes modernes zentrales Zimmer im Altbau,116940839,Linda,Mitte,Moabit Ost,52.53218,13.34842,Private room,14,14,2,2017-04-01,0.03,1,0,0,
33586474,Big cozy bright privat flat in middel of Berlin,36697653,Jenni Lia,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51356,13.47032,Entire home/apt,80,1,0,,,1,0,0,
33985417,entire apartment in the heart of friedrichshain,42642490,Tal,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.5091,13.45989,Entire home/apt,85,1,4,2019-06-02,0.11,2,0,0,
34300759,"Nice, bright Loft near the Charlottenburg Palace",2736624,Ian,Charlottenburg-Wilm.,Schloß Charlottenburg,52.51796,13.29043,Entire home/apt,220,7,0,,,1,0,0,
34964821,Room in a shared flat in Friedrichshain,21204295,Maria Cristina,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.52272,13.4482,Private room,45,2,0,,,1,0,0,
37683558,Gemütliches Zimmer mit Balkon in Moabit,2455803,Jill,Mitte,Moabit West,52.52959,13.32492,Entire home/apt,40,10,3,2019-10-03,0.09,1,0,0,
39391645,Beautiful cozy apartment in the center of Berlin,136735926,Jakob,Mitte,Wedding Zentrum,52.54049,13.34947,Entire home/apt,58,3,3,2019-11-08,0.09,1,0,0,
20927966,cozy beutifull boutique apprtment,150433612,Smadar,Pankow,Helmholtzplatz,52.54171,13.41825,Entire home/apt,65,30,12,2020-06-15,0.27,1,278,0,
1773412,Cozy room in the heart of Neukölln,9313532,Nasim,Neukölln,Reuterstraße,52.48801,13.43228,Private room,30,1,3,2017-08-23,0.05,1,0,0,
4877492,"",19056175,Victoria,Neukölln,Reuterstraße,52.483,13.43242,Private room,25,1,1,2015-01-02,0.01,1,0,0,
5218671,Gemütliches Zimmer in 2er-WG,27000163,Kerstin,Mitte,Parkviertel,52.54794,13.34881,Private room,30,7,0,,,1,0,0,
7281788,Helles Wg Zimmer mit Balkon,38131292,Marieke,Pankow,Pankow Süd,52.55398,13.41975,Private room,30,3,1,2015-08-09,0.01,1,0,0,
7455586,Spacious 25m² room with sunny balcony,30552540,Philipp,Neukölln,Reuterstraße,52.48663,13.4306,Private room,35,20,34,2018-06-23,0.42,2,0,0,08/Z/RA/006067-18
7552777,home for you in Neukölln + balkony,39585755,Narcisz,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49682,13.44568,Private room,25,2,2,2015-08-11,0.02,2,0,0,
7739379,Room in nice WG,39224619,Martina,Steglitz - Zehlendorf,Albrechtstr.,52.46297,13.33212,Private room,20,1,2,2015-09-03,0.02,1,0,0,
7850853,Bright and peaceful Room in Berlin,4520878,Canelle,Neukölln,Neuköllner Mitte/Zentrum,52.47111,13.43153,Private room,20,1,3,2015-09-01,0.04,1,0,0,
8067006,Anna's House,10078454,Anna,Neukölln,Neuköllner Mitte/Zentrum,52.46997,13.43667,Entire home/apt,85,1,1,2015-09-14,0.01,1,0,0,
9626182,Rooftop-Apartment with two balconies,17702404,Jelena,Tempelhof - Schöneberg,Schöneberg-Süd,52.48792,13.35089,Entire home/apt,70,14,4,2018-07-27,0.07,1,0,0,
11145559,Privat room in a sharing apartment,50259108,Thais,Neukölln,Reuterstraße,52.48955,13.4294,Private room,25,1,0,,,2,0,0,
13056913,Private room  quiet neighborhood,26176881,Gaetan,Pankow,Pankow Zentrum,52.58245,13.4212,Private room,26,1,3,2016-09-23,0.04,2,0,0,
13517557,Renovated apartment in the center,77631123,Feng,Mitte,Alexanderplatz,52.52107,13.37711,Entire home/apt,457,1,0,,,1,0,0,
19900163,"Zimmer in Lichtenberg, schnell an Warschauerstraße",140907812,Polina,Lichtenberg,Friedrichsfelde Süd,52.49629,13.4991,Private room,16,1,4,2019-08-29,0.11,1,0,0,
19478539,"57 qm - new, modern, cosy / balcony & free parking",22600198,Thorsten,Pankow,Weißensee,52.55717,13.43397,Entire home/apt,79,2,87,2022-06-06,1.45,1,78,35,03/Z/RA/006014-20
22004268,Studio at Ostbahnhof,96629115,Khizir,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.5122,13.43268,Entire home/apt,30,3,3,2018-02-19,0.06,1,0,0,
22323421,Cosy Place in Heart of Friedrichshain,102047176,Alex,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.5117,13.4596,Entire home/apt,200,4,0,,,1,0,0,
26265366,"Central apartment - small, comfi and romantic",94941366,Vivien,Pankow,Prenzlauer Berg Nord,52.5419,13.43918,Entire home/apt,120,1,4,2019-01-01,0.08,2,0,0,
31778589,Beautiful room | In the heart of Prenzlauer Berg,211673565,Álvaro,Pankow,Prenzlauer Berg Süd,52.53286,13.43063,Private room,41,2,1,2019-01-23,0.02,1,0,0,
32649687,Nice Appartment in Charlottenburg.,56440069,Michael,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51433,13.313,Private room,30,5,1,2019-02-26,0.02,1,0,0,
33306299,Small flat in the city centre,250865866,Ewa,Mitte,Tiergarten Süd,52.50457,13.36763,Entire home/apt,60,1,0,,,1,0,0,
34250736,Cosy apartment few mins from Berlin Wall,3370516,Vincent,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.49902,13.46186,Entire home/apt,85,3,0,,,1,0,0,
37614695,Beautiful private cozy apartment in Berlin,48267425,Kalle,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51277,13.47034,Entire home/apt,80,1,0,,,1,0,0,
38053051,Ruhige Lage,288762588,Dirk,Lichtenberg,Fennpfuhl,52.53215,13.46471,Private room,25,1,9,2019-11-17,0.27,1,0,0,
38507104,cosy and fancy - straight in Neuköllns heart,32885341,Suse,Neukölln,Neuköllner Mitte/Zentrum,52.47984,13.43606,Entire home/apt,81,3,0,,,2,0,0,
38790904,Cozy apartment  in Friedrichshain,222347863,Marco,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.52127,13.45209,Private room,30,2,4,2020-01-26,0.12,1,0,0,
42054791,Studio near Tempelhofer field,74848691,Tobias,Neukölln,Schillerpromenade,52.479,13.42174,Entire home/apt,50,62,0,,,1,0,0,
42203395,Cosy room in heart of Berlin,76641332,Stefan,Mitte,Regierungsviertel,52.51439,13.39623,Private room,40,14,1,2020-02-16,0.04,1,0,0,
42681699,Gemütliches Zimmer Nähe Görli.,8129996,Katja,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49802,13.42818,Private room,96,1,0,,,1,0,0,
50069580,dark but cozy,48805100,René,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48808,13.39547,Private room,90,2,0,,,1,78,0,
50557360,Silver Star Apartment,16079116,Chris,Neukölln,Buckow,52.42125,13.42343,Entire home/apt,74,1,10,2022-06-04,1.00,10,346,10,
590200,Gästeappartement in Rudow (App.1),2877505,Carola,Neukölln,Rudow,52.41335,13.47975,Entire home/apt,65,5,37,2022-04-01,0.39,2,269,4,08/Z/ZA/004183-16
617382885346050062,"Traumvilla mit Pool, Kamin, Whirlpool etc. Berlin",267949781,Linni,Pankow,Buch,52.646816,13.524642,Entire home/apt,150,28,0,,,2,284,0,
23755739,Gästevilla in Berlin Kladow,178178558,Davina,Spandau,Gatow / Kladow,52.45321,13.13118,Private room,59,2,99,2022-05-29,1.93,1,50,28,"First name and Last name: Davina Prachnau <br/> Contact address: Hoffmann-von-Fallersleben-Platz 3, 10713, Berlin, Deutschland <br/>Listing address: Krampnitzer Weg 27, 14089 , Berlin, Deutschland"
41923918,Doppelzimmer Standart,7031936,Hotel,Marzahn - Hellersdorf,Hellersdorf-Nord,52.53892,13.6042,Private room,74,1,0,,,6,324,0,DE 319715940
37139216,The big green guest apartment,279359730,Andreas,Reinickendorf,Nord 1,52.61937,13.30671,Entire home/apt,91,3,32,2022-06-05,0.98,1,73,17,12/Z/AZ/002245-19
50567543,Sonniges Dachzimmer im Grünen: Berlin-Wannsee,408556566,Annette Und Siegfried,Steglitz - Zehlendorf,Zehlendorf  Südwest,52.39731,13.14386,Private room,48,2,36,2022-06-10,3.17,1,134,36,
37826984,Übernachtung im Grünen,286319058,Mario,Reinickendorf,Nord 1,52.63019,13.33372,Private room,61,2,13,2022-03-23,0.62,2,293,10,
18592924,Grünes Nikolassee für zwei Gäste,22167812,Thomas  Und Bettina,Steglitz - Zehlendorf,Zehlendorf  Südwest,52.42896,13.18821,Private room,72,1,5,2021-08-14,0.11,2,28,1,06/Z/AZ/002649-18
50860768,Doppelzimmer mit Boxspringbett 200x200 cm,174923505,Margit,Marzahn - Hellersdorf,Marzahn-Süd,52.54126,13.554639,Private room,81,1,0,,,6,279,0,"First name and Last name: Margit Jagdmann <br/> Contact address: Blumenbachweg 40, 12685, Berlin, Deutschland <br/>Listing address: Blumenbachweg 40, 12685, Berlin, Deutschland"
551124949392737246,Großzügige helle 4 Zimmer-Wohnung mit Garten,442740891,Barbara,Reinickendorf,Nord 1,52.61972,13.29853,Entire home/apt,249,5,10,2022-05-29,2.36,1,311,10,11/1/11/000000-11
44566079,"Modernes 2,5 Zimmer Erdgeschoss-Apartment-Neubau",8912086,René,Tempelhof - Schöneberg,Tempelhof,52.45799,13.37891,Entire home/apt,99,29,0,,,37,173,0,
40618561,Helles Studio am Wasser in Köpenick - Apt. no. 14,108025548,Baharbin,Treptow - Köpenick,Köpenick-Süd,52.42761,13.58266,Entire home/apt,78,22,10,2022-05-15,0.36,31,279,7,
50847564,Big and bright room in Rummelsburg,112896161,Anje,Lichtenberg,Rummelsburger Bucht,52.50045,13.47986,Private room,30,14,0,,,1,163,0,
30341837,Gemütlich Privatbereich,224691394,Sergue,Pankow,Weißensee,52.55378,13.43771,Private room,48,1,109,2022-06-07,2.78,10,204,45,"First name and Last name: Kristina Proskurina <br/> Contact address: Ritterfelddamm 82D, 14089, Berlin, Berlin <br/>Listing address: Langhansstr. 103, 13086, Berlin, Berlin"
555352,Caravan Landhaus Seeapartment,2677541,Dimitri,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.34666,13.64336,Entire home/apt,60,2,1,2014-06-09,0.01,4,18,0,
36011170,"CHIC, SPACIOUS APARTMENT IN PEACEFUL NEIGHBORHOOD",270932564,Ester,Mitte,Osloer Straße,52.55499,13.38642,Entire home/apt,132,2,0,,,1,0,0,
4028925,room in Baumschulenweg by the wood,9928638,Sergio,Treptow - Köpenick,Baumschulenweg,52.46648,13.48713,Private room,23,92,29,2022-03-06,0.37,2,117,1,
39694694,Comfortable room in Berlin wedding,289884760,Preeti,Mitte,Osloer Straße,52.55989,13.39537,Private room,32,2,4,2020-08-06,0.14,2,8,0,
26807658,"Mitte, Designer trendy flat. Perfect location.",20388548,Basma,Mitte,Regierungsviertel,52.51373,13.38831,Entire home/apt,100,92,27,2022-04-16,0.57,3,144,4,1808-01/z/ra/008330-18
880250,Furnished apartment Corbusier house,4655176,Benedikt,Charlottenburg-Wilm.,Heerstrasse,52.50865,13.24357,Entire home/apt,27,92,14,2022-04-03,0.17,1,0,2,
8066636,"Big, sunny room with balcony",7047051,Peter,Mitte,Osloer Straße,52.55895,13.38482,Private room,25,2,64,2022-05-30,0.78,1,101,7,01/Z/AZ/008562-18
42828426,City West Berlin Appartement am Halensee,74961861,Dana,Charlottenburg-Wilm.,Grunewald,52.49421,13.28304,Private room,60,3,0,,,1,125,0,
39816613,"*** Zimmer in Design Apartment, sehr zentral ***",5472105,Marcel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.51874,13.43763,Private room,46,30,3,2022-04-01,0.11,12,246,2,
3945778,120qm Altbau in Berlin Friedenau,20447653,Sebastian,Tempelhof - Schöneberg,Friedenau,52.47418,13.34076,Entire home/apt,73,2,13,2018-01-01,0.14,1,0,0,
543304521392769826,Newly built 50m2 penthouse loft,16526913,Falko,Mitte,Osloer Straße,52.56159,13.3791,Entire home/apt,45,92,0,,,4,264,0,
25555552,Happy vacation time,1518585,Willy Lapse,Pankow,Weißensee,52.55441,13.4347,Private room,70,2,25,2019-12-23,0.52,1,145,0,
14555185,Entire 76 m^2 apartment in Berlin Wedding!,60180410,Lulu,Mitte,Parkviertel,52.54937,13.34669,Entire home/apt,58,5,5,2021-12-29,0.21,1,66,3,"First name and Last name: Luisa Krawczyk <br/> Contact address: Kameruner Str. 13, 13351, Berlin, Germany <br/>Listing address: Kameruner Str. 13, 13351, Berlin, Germany"
51900143,Berlin  house with amazing space,10243739,Rosie,Steglitz - Zehlendorf,Teltower Damm,52.42561,13.26835,Entire home/apt,105,28,1,2021-10-31,0.13,1,105,1,
31890149,Pandoras home - city west - 75 qm,239040287,Joachim,Tempelhof - Schöneberg,Friedenau,52.46817,13.32625,Entire home/apt,135,3,4,2021-09-13,0.11,1,171,1,07/Z/AZ/011755-21
14233505,Cozy Room looking for female flatmate,60530735,Amy,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49766,13.43881,Private room,31,14,53,2022-04-28,0.74,2,203,6,
33035580,"Hauptstadt-Studio 2, max. 4 Gäste",13592667,Anja,Mitte,Moabit Ost,52.53296,13.35117,Entire home/apt,90,3,7,2022-06-05,0.18,2,247,4,01/Z/RA/008367-18
5519851,Huge light-filled home in center,1124543,Elli,Charlottenburg-Wilm.,Düsseldorfer Straße,52.49927,13.32565,Entire home/apt,160,20,22,2021-04-28,0.26,1,195,0,
28532851,Quiet & Small (LINDEMANN'S),215178674,Lindemann'S,Tempelhof - Schöneberg,Schöneberg-Nord,52.49379,13.36134,Hotel room,181,1,308,2022-05-22,7.27,7,306,84,"Legal entity name and Legal form: LINDEMANN'S GmbH <br/>Legal representatives or Trade register number: 75750 B - Amtsgericht Charlottenburg <br/> Entity address: Potsdamer Straße 171-173, 10783, Berlin, Deutschland <br/>Listing address: Potsdamer Straße 171-173, 10783, Berlin, Deutschland"
35363485,"Room in 125m2 Loft, Schillerkiez Tempelhofer Feld",11499225,Kun,Neukölln,Schillerpromenade,52.47922,13.41882,Private room,69,2,2,2022-06-06,0.06,1,99,1,08/Z/AZ/008213-19
189288,Townhouse Altenescher Weg,907038,Katarina-Susanne,Pankow,Prenzlauer Berg Ost,52.53822,13.45771,Entire home/apt,105,3,90,2022-05-15,0.73,1,190,2,
39439507,Уютная комнатка для 1 чел. в центре Берлина.,125341008,Taras,Mitte,Brunnenstr. Nord,52.53996,13.39671,Private room,32,2,0,,,10,227,0,
36401268,Cozy apartment for 3  in the heart of Berlin,273470240,Maria,Mitte,Brunnenstr. Süd,52.53228,13.38138,Entire home/apt,108,3,29,2022-05-22,0.82,7,203,12,01/Z/AZ/013300-21
1245728,new and comfortable flat in Berlin,5472923,Bettina,Mitte,Wedding Zentrum,52.55462,13.36494,Entire home/apt,59,60,74,2020-02-29,0.75,1,246,0,
28144532,LONG STAY FOR EXPATS/STUDENTS- CITY CENTRE,23904144,Katarina,Mitte,Regierungsviertel,52.51123,13.3822,Entire home/apt,85,92,12,2022-04-30,0.30,25,306,5,
40665178,Chic and Basic,192200150,Cristian,Charlottenburg-Wilm.,Düsseldorfer Straße,52.49805,13.33405,Entire home/apt,60,3,2,2020-04-01,0.07,8,87,0,
5335113,Design Apartment,719464,Werner,Steglitz - Zehlendorf,Teltower Damm,52.43237,13.27842,Entire home/apt,120,4,159,2022-05-22,1.84,1,226,22,06/Z/AZ/002823-19
35731198,Stylish Property,268768440,Natalia,Pankow,Prenzlauer Berg Nordwest,52.55135,13.41385,Entire home/apt,65,3,83,2022-05-23,2.33,1,185,38,"First name and Last name: Natalia Aleksandrova <br/> Contact address: Paul-Robeson Straße 47, 10439, Berlin, Deutschland  <br/>Listing address: Paul-Robeson Straße 48,Erdgeschoss Rechts , 10439, Berlin, Deutschland "
29473988,Berlin Zimmer 18 qm Friedenau,216540733,Johann,Tempelhof - Schöneberg,Friedenau,52.47209,13.32762,Private room,40,60,14,2022-05-06,0.32,1,117,6,07/Z/AZ/011538-21
40590682,"Artist studio - sunny, spacious and unique",14628862,Fabian,Mitte,Regierungsviertel,52.51001,13.3928,Private room,50,3,2,2020-12-06,0.07,1,32,0,"First name and Last name: Fabian Knecht <br/> Contact address: Leipziger Straße 63, 10117, Berlin, Deutschland  <br/>Listing address: Leipziger Straße 64, 10117, Berlin, Deutschland"
38261816,quiet apartment with terrace in middle of green,289573026,Meli,Spandau,Brunsbütteler Damm,52.53672,13.15752,Entire home/apt,62,90,0,,,2,223,0,17/3/43/656565-10
612372142690318460,Wohnung für Zwei in Spandau,12870789,Benjamin,Spandau,Wilhelmstadt,52.525108,13.194449,Entire home/apt,180,92,0,,,1,365,0,
47041746,"Sunny flat, 2 rooms close to S-Train Köpenick",7979825,Dietmar,Treptow - Köpenick,Köpenick-Nord,52.46299,13.5819,Entire home/apt,35,30,0,,,1,0,0,
35685973,feels-like-home place for a  Berlin escape,253137965,Laura,Pankow,Pankow Zentrum,52.58294,13.42696,Private room,45,2,8,2022-04-14,0.22,1,144,4,
32852670,Beautifully modern flat in Berlin Wilmersdorf.,24467951,Grant,Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.48535,13.32411,Entire home/apt,95,5,5,2022-05-02,0.13,1,54,1,04/Z/AZ/011505-22
51101798,Berlin City Loft,404277473,Lisa,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50068,13.46277,Entire home/apt,120,3,1,2021-08-07,0.10,1,44,1,
20378421,Lovely Loft Room & Balcony & Own Bathroom,95822954,Theresa,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49185,13.40431,Private room,66,5,149,2022-05-31,2.55,1,8,27,02/Z/AZ/010686-19
